,SQQQ,NOK,IDEX,AMD,BTCUSD,FBIO,SONM
Score,-4.40,-3.44,3.20,-4.33,3.26,3.32,7.34
Score_Dif,UP+ 0.44,DOWN- 5.14,DOWN- 2.98,DOWN- 1.95,UP+ 3.26,SAME 3.32,SAME 7.34
3_Month_Hold,$8.03 - $9.21,$4.60 - $7.46,$8.40 - $13.61,$88.20 - $104.73,$73 884.99 - $108 004.47,$4.72 - $5.84,NA - 
Opening_Price,$12.26,$4.21,$5.27,$91.59,$46 437.41,$3.98,$1.26
RSI,38,50,75,55,81,63,76
Day_1,-4.84,1.70,6.18,-2.38,0.00,NA,NA
